City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Strezhevoy,60.7333,77.5889,10.4,67,0,8.95,RU,clear sky,2021-04-18 18:42:17
1,Ewa Beach,21.3156,-158.0072,75.99,64,1,8.05,US,clear sky,2021-04-18 18:39:59
2,Hobart,-42.8794,147.3294,55.4,58,100,11.5,AU,overcast clouds,2021-04-18 18:38:24
3,Hilo,19.7297,-155.09,73.99,68,1,3.44,US,clear sky,2021-04-18 18:42:17
4,Rikitea,-23.1203,-134.9692,77.32,74,0,8.5,PF,clear sky,2021-04-18 18:42:17
5,Bredasdorp,-34.5322,20.0403,68.0,52,7,8.05,ZA,clear sky,2021-04-18 18:42:18
6,Oistins,13.0667,-59.5333,86.0,51,40,24.16,BB,scattered clouds,2021-04-18 18:42:18
7,Polson,47.6936,-114.1632,66.99,44,97,5.99,US,overcast clouds,2021-04-18 18:42:18
8,Kapaa,22.0752,-159.319,73.99,68,75,9.22,US,broken clouds,2021-04-18 18:42:19
9,Nikolskoye,59.7035,30.7861,50.0,43,0,11.18,RU,clear sky,2021-04-18 18:42:19
10,Iqaluit,63.7506,-68.5145,19.4,68,75,3.44,CA,broken clouds,2021-04-18 18:42:20
11,Mataura,-46.1927,168.8643,54.0,84,93,5.01,NZ,overcast clouds,2021-04-18 18:42:20
12,Ushuaia,-54.8,-68.3,57.2,51,40,3.44,AR,scattered clouds,2021-04-18 18:41:36
13,Barrow,71.2906,-156.7887,19.4,86,1,11.5,US,clear sky,2021-04-18 18:42:20
14,New Norfolk,-42.7826,147.0587,55.0,76,100,1.01,AU,overcast clouds,2021-04-18 18:42:22
15,Komsomolskiy,40.4272,71.7189,57.2,62,8,6.91,UZ,clear sky,2021-04-18 18:42:22
16,Vaini,-21.2,-175.2,68.0,88,20,2.3,TO,few clouds,2021-04-18 18:42:22
17,Tiksi,71.6872,128.8694,5.74,88,100,11.81,RU,overcast clouds,2021-04-18 18:42:22
18,Lagoa,39.05,-27.9833,60.91,87,97,10.85,PT,overcast clouds,2021-04-18 18:42:23
19,Butembo,0.15,29.2833,62.58,81,51,4.9,CD,broken clouds,2021-04-18 18:42:23
20,Berlevag,70.8578,29.0864,39.2,65,0,4.61,NO,clear sky,2021-04-18 18:42:23
21,Thinadhoo,0.5333,72.9333,82.67,64,97,5.97,MV,overcast clouds,2021-04-18 18:42:24
22,Crestview,30.7621,-86.5705,73.99,49,90,6.91,US,overcast clouds,2021-04-18 18:39:51
23,Emba,48.8264,58.1442,56.34,77,98,11.48,KZ,overcast clouds,2021-04-18 18:42:24
24,Cape Town,-33.9258,18.4232,69.01,82,0,11.5,ZA,clear sky,2021-04-18 18:41:10
25,Albany,42.6001,-73.9662,57.0,54,75,13.8,US,broken clouds,2021-04-18 18:41:11
26,Ponta Do Sol,32.6667,-17.1,66.2,72,20,9.22,PT,few clouds,2021-04-18 18:42:25
27,Jambi,-1.6,103.6167,73.85,94,85,2.15,ID,overcast clouds,2021-04-18 18:42:25
28,Castro,-24.7911,-50.0119,68.49,69,73,6.76,BR,broken clouds,2021-04-18 18:42:25
29,Hermanus,-34.4187,19.2345,66.0,78,14,1.99,ZA,few clouds,2021-04-18 18:42:26
30,Cidreira,-30.1811,-50.2056,71.98,78,62,14.61,BR,broken clouds,2021-04-18 18:42:26
31,La Ronge,55.1001,-105.2842,32.0,40,63,12.66,CA,broken clouds,2021-04-18 18:42:26
32,Atuona,-9.8,-139.0333,81.28,72,17,16.75,PF,few clouds,2021-04-18 18:42:27
33,Sitka,57.0531,-135.33,53.6,58,1,3.44,US,clear sky,2021-04-18 18:42:27
34,Avarua,-21.2078,-159.775,78.8,83,75,10.36,CK,light rain,2021-04-18 18:42:27
35,Acatlan,20.15,-98.45,72.23,38,3,4.99,MX,clear sky,2021-04-18 18:42:28
36,Bluff,-46.6,168.3333,54.0,84,62,5.01,NZ,broken clouds,2021-04-18 18:42:28
