City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ewa Beach,US,75.99,clear sky,21.3156,-158.0072,Uncle Junior Robert
4,Rikitea,PF,77.32,clear sky,-23.1203,-134.9692,Pension Maro'i
6,Oistins,BB,86.0,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
21,Thinadhoo,MV,82.67,overcast clouds,0.5333,72.9333,
32,Atuona,PF,81.28,few clouds,-9.8,-139.0333,Villa Enata
34,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
38,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Paracuru,BR,81.0,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
49,Sao Joao Da Barra,BR,86.0,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
50,Mar Del Plata,AR,78.01,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
60,Faanui,PF,82.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
63,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
65,Bang Saphan,TH,75.81,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
67,San Juan De Abajo,MX,78.8,clear sky,20.8167,-105.1833,Lorenzo Anaya
75,Gizo,SB,82.63,light rain,-8.103,156.8419,Imagination Island
78,Luwuk,ID,75.6,light rain,-0.9516,122.7875,Hotel Santika Luwuk
80,Sompeta,IN,79.61,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
81,Vanimo,PG,76.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
82,Labuhan,ID,77.18,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
84,Itarema,BR,82.11,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
85,Adrar,MR,84.34,clear sky,20.5022,-10.0711,
86,Hithadhoo,MV,82.72,clear sky,-0.6,73.0833,Scoop Guest House
90,Banda Aceh,ID,80.65,overcast clouds,5.5577,95.3222,Sulthan Hotel International
91,Hobyo,SO,83.43,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
97,Brumado,BR,80.96,overcast clouds,-14.2036,-41.6653,Hotel São Lázaro
101,Gat,IL,82.0,clear sky,31.61,34.7642,OlusHome
103,Aswan,EG,89.96,clear sky,24.0934,32.907,Nuba Nile
104,Cabo San Lucas,MX,84.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
112,Butaritari,KI,82.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
114,Negara,ID,76.05,broken clouds,-8.3151,114.6025,Villa Maya West Bali
118,Mitsamiouli,KM,80.69,light rain,-11.3847,43.2844,Foyer ADM
